point: 2024-12-3 11:54:50 | Message: 5 | Mode: GSM | ICCID: 4 | Latitude: 44.9900 | Longitude: 1.0779
point: 2024-12-3 11:55:50 (60 seconds elapsed) | Message: 5 | Mode: GSM | ICCID: 4 | Latitude: 44.9898 | Longitude: 1.0770
point: 2024-12-3 11:56:50 (60 seconds elapsed) | Message: 5 | Mode: GSM | ICCID: 4 | Latitude: 44.9898 | Longitude: 1.0760
point: 2024-12-3 11:57:50 (60 seconds elapsed) | Message: 5 | Mode: GSM | ICCID: 4 | Latitude: 44.9897 | Longitude: 1.0756
point: 2024-12-3 11:58:50 (60 seconds elapsed) | Message: 5 | Mode: GSM | ICCID: 4 | Latitude: 44.9894 | Longitude: 1.0761
point: 2024-12-3 11:59:50 (60 seconds elapsed) | Message: 5 | Mode: GSM | ICCID: 4 | Latitude: 44.9891 | Longitude: 1.0766
point: 2024-12-3 12:0:50 (60 seconds elapsed) | Message: 5 | Mode: GSM | ICCID: 4 | Latitude: 44.9889 | Longitude: 1.0771
point: 2024-12-3 12:1:50 (60 seconds elapsed) | Message: 5 | Mode: GSM | ICCID: 4 | Latitude: 44.9885 | Longitude: 1.0775
point: 2024-12-3 12:7:50 (360 seconds elapsed) | Message: 5 | Mode: GSM | ICCID: 4 | Latitude: 44.9861 | Longitude: 1.0740
point: 2024-12-3 12:8:0 (10 seconds elapsed) | Message: 5 | Mode: GSM | ICCID: 4 | Latitude: 44.9861 | Longitude: 1.0739
point: 2024-12-3 12:9:0 (60 seconds elapsed) | Message: 6 | Mode: GSM | ICCID: 4 | Latitude: 44.9860 | Longitude: 1.0735
point: 2024-12-3 12:10:0 (60 seconds elapsed) | Message: 6 | Mode: GSM | ICCID: 4 | Latitude: 44.9855 | Longitude: 1.0734
point: 2024-12-3 12:11:0 (60 seconds elapsed) | Message: 6 | Mode: GSM | ICCID: 4 | Latitude: 44.9851 | Longitude: 1.0741
point: 2024-12-3 12:12:0 (60 seconds elapsed) | Message: 6 | Mode: GSM | ICCID: 4 | Latitude: 44.9847 | Longitude: 1.0743
point: 2024-12-3 12:13:0 (60 seconds elapsed) | Message: 6 | Mode: GSM | ICCID: 4 | Latitude: 44.9843 | Longitude: 1.0750
